lemma_display,pos_dict,freq,ipm,doc_hits,doc_percent,R,D,rank
и,SERVICE,1189521,35357.00222143276,11190,99.62606837606837,93,96.754963,1
в,SERVICE,1146981,34092.554704743474,11205,99.75961538461539,93,96.743771,2
не,SERVICE,559043,16616.843748766463,10546,93.89245014245014,93,95.256635,3
на,SERVICE,524830,15599.905740104256,11055,98.4241452991453,93,96.631342,4
с,SERVICE,410058,12188.453685909097,10896,97.00854700854701,93,96.676228,5
он,PRON,337028,10017.72961106617,9322,82.99501424501425,93,93.768787,6
я,PRON,319837,9506.748951465666,5615,49.99109686609687,93,91.721382,7
быть,SERVICE,266070,7908.59310685277,10289,91.60434472934473,93,96.284503,8
а,SERVICE,254811,7573.933619537194,10171,90.55377492877493,93,95.685881,9
что,SERVICE,241240,7170.552866152375,10034,89.33404558404558,93,95.818518,10
это,PRON,198803,5909.166893755972,9840,87.6068376068376,93,95.732172,11
по,SERVICE,188112,5591.390485647718,10479,93.29594017094017,93,96.488653,12
к,SERVICE,183355,5449.99469728639,9910,88.23005698005699,93,96.756641,13
но,SERVICE,176529,5247.100509488528,9426,83.92094017094017,93,95.847045,14
она,PRON,176457,5244.960400856614,8079,71.92841880341881,93,93.203347,15
этот,PRON,172047,5113.878747151872,10039,89.37856125356126,93,96.44957,16
как,SERVICE,170079,5055.382444546218,9743,86.74323361823362,93,96.239203,17
они,PRON,167506,4978.9032846862865,9327,83.03952991452991,93,95.270716,18
из,SERVICE,159011,4726.400189851414,10021,89.21830484330485,93,96.60266,19
который,PRON,158631,4715.105172071868,10059,89.55662393162393,93,96.054577,20
год,NOUN,155090,4609.853440605089,9654,85.9508547008547,93,93.801424,21
что,PRON,145424,4322.543856770614,8703,77.48397435897436,93,94.746485,22
у,SERVICE,135048,4014.130423926985,8309,73.97613960113961,93,95.017318,23
мы,PRON,130672,3884.059377076203,7558,67.28988603988604,93,94.613588,24
то,PRON,129023,3835.044944659169,9343,83.18198005698005,93,96.052416,25
о,SERVICE,128444,3817.834904410859,9365,83.377849002849,93,96.367901,26
от,SERVICE,125592,3733.0628236022594,9402,83.70726495726495,93,96.632569,27
свой,PRON,125526,3731.101057356338,9029,80.38639601139602,93,96.266112,28
за,SERVICE,122073,3628.465014217455,9245,82.30947293447294,93,96.026977,29
быть,VERB,120884,3593.1234980598724,8473,75.43625356125357,93,95.528991,30
весь,PRON,115931,3445.901858422778,9148,81.44586894586895,93,96.326374,31
для,SERVICE,113585,3376.1699854995754,9572,85.22079772079772,93,95.311858,32
так,ADV,111664,3319.0706982508655,8709,77.53739316239316,93,95.708556,33
же,SERVICE,105431,3133.802682935297,8294,73.8425925925926,93,95.799658,34
мочь,VERB,103549,3077.862621195541,8812,78.45441595441595,93,95.942915,35
все,PRON,100149,2976.8019357995945,7640,68.01994301994301,93,94.591866,36
тот,PRON,100113,2975.7318814836376,8733,77.75106837606837,93,96.18191,37
ты,PRON,92252,2742.07363210201,3096,27.564102564102566,93,89.899386,38
человек,NOUN,91256,2712.468796027197,7489,66.6755698005698,93,95.52198,39
такой,PRON,88969,2644.4906232329245,8617,76.71830484330485,93,96.146389,40
один,NUM,87350,2596.3679027458547,8847,78.76602564102564,93,96.667189,41
его,PRON,86055,2557.8756711023984,8046,71.63461538461539,93,95.779255,42
или,SERVICE,80924,2405.363207347516,7919,70.50391737891738,93,94.881899,43
только,SERVICE,79797,2371.8645625118597,8278,73.70014245014245,93,96.117389,44
еще,ADV,76571,2275.975806309706,7880,70.15669515669515,93,95.308544,45
себя,PRON,73326,2179.522299218575,7231,64.37856125356126,93,95.254313,46
до,SERVICE,70917,2107.9178312424474,8376,74.57264957264957,93,96.348616,47
