Словоформа,Частота (ipm),Капитализация
-то,6.576898,lower
/или,7.567937,lower
1-го,6.21652,lower
1-й,9.249701,lower
1920-е,7.718095,lower
1920-х,23.484631,lower
1930-е,8.859292,lower
1930-х,22.343434,lower
1940-х,7.868252,lower
1950-е,5.315575,lower
1950-х,18.589497,lower
1960-е,9.189638,lower
1960-х,25.346584,lower
1970-е,7.537906,lower
1970-х,14.955686,lower
1980-е,5.796079,lower
1980-х,17.388237,lower
1990-е,10.42093,lower
1990-х,25.857119,lower
2-го,5.495764,lower
2-й,8.558977,lower
20-х,7.147496,lower
2000-х,10.601119,lower
3-й,6.096394,lower
30-х,7.447811,lower
3D,7.267622,higher
50-х,5.856142,lower
60-х,10.300804,lower
70-х,8.679103,lower
80-х,10.871402,lower
90-е,8.889323,lower
90-х,16.817639,lower
<image>,5.375638,lower
<table>,7.567937,lower
A,22.733843,higher
a,36.338112,lower
A.,42.434506,higher
al.,43.12523,lower
American,6.666992,higher
AmEx,10.781308,higher
an,5.435701,lower
and,82.796838,lower
Apple,5.045292,higher
as,6.066362,lower
B,7.41778,higher
B.,15.075812,higher
by,12.192788,lower
C,19.220158,higher
c,7.537906,lower
C.,24.175355,higher
c.,10.300804,lower
Cell,5.045292,higher
D,7.327685,higher
D.,21.65271,higher
daily,23.634788,lower
DC,7.958347,higher
de,33.605246,lower
del,5.045292,lower
der,6.456772,lower
des,9.850331,lower
di,7.117465,lower
DOI,7.718095,higher
du,8.318725,lower
E.,18.199087,higher
ER,5.886173,higher
et,68.952318,lower
F,6.036331,higher
F.,10.991528,higher
for,21.742804,lower
formula,14.655371,lower
from,11.862441,lower
G.,13.934615,higher
Glen,5.525796,higher
Google,6.516835,higher
Group,8.82926,higher
H,5.135386,higher
H.,16.84767,higher
Homo,24.685891,higher
human,5.645921,lower
I,74.718365,higher
i,5.585859,lower
I.,11.712284,higher
II,67.751058,higher
III,35.407135,higher
in,59.9729,lower
International,7.477843,higher
is,13.153796,lower
IT,5.285544,higher
it,5.675953,lower
IV,30.512001,higher
IX,7.718095,higher
J.,38.650537,higher
Journal,11.652221,higher
K.,10.871402,higher
KNM,7.087433,higher
kr,6.366677,lower
L,5.916205,higher
L.,20.121103,higher
La,9.369827,higher
la,12.493103,lower
Le,7.688063,higher
London,5.736016,higher
M.,40.812805,higher
MC,13.424079,higher
Metro,13.694363,higher
Microsoft,7.117465,higher
N,42.91501,higher
n,5.736016,lower
N.,19.340284,higher
National,6.636961,higher
Nature,14.325024,higher
New,12.493103,higher
O.,5.105355,higher
o.,24.655859,lower
OB,6.81715,higher
of,138.144888,lower
on,13.484142,lower
P.,38.019876,higher
p.,12.793418,lower
picture,38.200065,lower
pp.,20.091072,lower
Press,8.108504,higher
R,6.907244,higher
R.,21.742804,higher
Research,6.516835,higher
rue,13.364016,lower
S,11.862441,higher
S.,35.377104,higher
San,8.408819,higher
sapiens,5.555827,lower
Science,13.964646,higher
Social,5.645921,higher
Society,5.285544,higher
T,9.8203,higher
T.,12.192788,higher
that,5.675953,lower
The,54.296947,higher
the,86.310523,lower
to,25.196426,lower
U,11.23178,higher
U3,5.195449,higher
University,7.147496,higher
URL,17.958835,higher
V,15.556316,higher
V.,39.431356,higher
VI,9.730205,higher
Via,7.928315,higher
VII,8.258662,higher
VIII,8.108504,higher
Visa,14.685402,higher
Vol.,8.348756,higher
vol.,6.396709,lower
W.,10.781308,higher
Wi-Fi,5.705984,higher
with,7.597969,lower
World,6.847181,higher
X,14.895623,higher
X.,5.135386,higher
XI,12.523134,higher
XII,15.406158,higher
XIII,14.655371,higher
XIV,19.490442,higher
XIX,101.626587,higher
XV,19.640599,higher
XVI,33.515151,higher
XVII,44.837026,higher
XVIII,54.95764,higher
XX,92.25676,higher
XXI,31.953513,higher
Y.,10.120615,higher
y.,24.535733,lower
York,5.255512,higher
you,9.039481,lower
Z-Wave,7.477843,higher
А,2736.740321,higher
а,4988.592085,lower
А-а,6.066362,higher
А.,502.306824,higher
Аарона,5.01526,higher
аборигенов,5.736016,lower
Абсолютно,5.675953,higher
абсолютно,75.349027,lower
абсолютной,8.769197,lower
абсурда,5.345607,lower
авангард,8.649071,lower
авангарда,11.081623,lower
аварии,12.04263,lower
Август,5.705984,higher
август,7.267622,lower
августа,57.840664,lower
августе,23.06419,lower
авиации,11.23178,lower
Австралии,13.904583,higher
австралопитеков,7.297654,lower
Австрии,8.288693,higher
авто,8.769197,lower
автобус,25.406647,lower
автобуса,12.312914,lower
автобусе,14.475182,lower
автобусов,5.705984,lower
автобусы,7.447811,lower
автомат,9.640111,lower
автомата,6.246551,lower
автоматизации,7.02737,lower
автоматически,19.610568,lower
автомобиле,8.168567,lower
автомобилей,28.139513,lower
автомобили,15.466221,lower
автомобиль,30.662159,lower
автомобильной,5.195449,lower
автомобильных,9.42989,lower
автомобиля,38.200065,lower
Автор,36.90871,higher
автор,120.456336,lower
автора,88.863201,lower
авторам,6.516835,lower
авторами,9.159607,lower
авторитет,12.493103,lower
авторов,54.687357,lower
автором,27.689041,lower
авторских,5.315575,lower
авторской,5.165418,lower
автору,17.808678,lower
Авторы,13.364016,higher
авторы,43.996144,lower
Ага,28.920332,higher
ага,6.847181,lower
агент,7.057402,lower
агента,5.075323,lower
агентов,8.438851,lower
агентства,17.027859,lower
агентство,10.811339,lower
агенты,5.375638,lower
агрессии,6.156457,lower
ад,12.973607,lower
Ада,7.087433,higher
ада,7.147496,lower
Адам,13.123764,higher
Адама,7.447811,higher
адаптации,11.802378,lower
адвокат,7.808189,lower
адвоката,6.396709,lower
адекватно,6.967307,lower
административного,5.435701,lower
административной,6.21652,lower
административных,7.297654,lower
администрации,28.710111,lower
администрация,8.558977,lower
адмирал,5.075323,lower
адмирала,5.075323,lower
Адрес,13.303953,higher
адрес,42.884978,lower
адреса,8.558977,lower
адресу,12.583197,lower
аду,5.165418,lower
аж,23.06419,lower
Азии,41.92397,higher
Азию,5.976268,higher
Азия,5.255512,higher
азот,5.345607,lower
азота,10.901434,lower
Ай,5.555827,higher
Айя,5.705984,higher
Академии,39.881828,higher
академии,38.440317,lower
Академик,7.237591,higher
академик,27.689041,lower
академика,23.905072,lower
академики,5.045292,lower
академиком,7.117465,lower
академических,7.537906,lower
академической,5.976268,lower
Академию,5.315575,higher
академию,6.276583,lower
Академия,6.42674,higher
аккуратно,37.89975,lower
Аксель,5.435701,higher
Аксенов,6.636961,higher
акт,16.577387,lower
акта,8.949386,lower
актер,10.270772,lower
актера,8.769197,lower
актеров,10.931465,lower
актеры,9.760237,lower
активная,5.916205,lower
активнее,5.495764,lower
активно,71.444932,lower
активного,11.622189,lower
активное,11.291843,lower
активной,11.742315,lower
активности,29.731182,lower
активность,27.418757,lower
активностью,5.525796,lower
активную,6.546866,lower
активные,8.318725,lower
активный,7.177528,lower
активным,7.928315,lower
активных,13.303953,lower
активов,14.415119,lower
активы,8.138536,lower
актов,15.075812,lower
актриса,9.369827,lower
актрисы,5.555827,lower
актуальной,6.42674,lower
актуальность,6.81715,lower
актуальным,6.81715,lower
актуальных,5.045292,lower
акты,8.348756,lower
акцент,11.862441,lower
акцентом,7.207559,lower
акции,21.142174,lower
акций,25.736993,lower
акция,6.006299,lower
Алекс,12.04263,higher
Александр,136.883565,higher
Александра,98.052839,higher
Александре,6.937276,higher
Александров,5.345607,higher
Александрович,23.574725,higher
Александровича,9.610079,higher
Александровна,14.895623,higher
Александром,11.051591,higher
Александру,13.273922,higher
Александры,5.796079,higher
Алексеев,5.766047,higher
Алексеевич,29.701151,higher
Алексеевича,6.81715,higher
Алексеем,8.288693,higher
Алексей,80.184098,higher
Алексею,8.288693,higher
Алексея,37.749592,higher
Алена,10.871402,higher
Алеша,7.447811,higher
Али,5.045292,higher
Алина,8.649071,higher
Алиса,12.463071,higher
алкоголь,8.558977,lower
алкоголя,12.553166,lower
Алла,37.479309,higher
алтарь,6.096394,lower
алтаря,5.345607,lower
Альберт,8.168567,higher
Альберта,5.165418,higher
альбом,13.664331,lower
альбома,5.61589,lower
альманаха,5.105355,lower
альтернатива,5.135386,lower
альтернативной,5.345607,lower
альтернативные,5.225481,lower
альтернативных,6.516835,lower
альтернативы,5.255512,lower
альфа,5.525796,lower
алюминия,6.516835,lower
Аля,5.736016,higher
амбиции,5.225481,lower
Амброджо,8.348756,higher
Америка,13.6343,higher
американец,6.847181,lower
американская,10.270772,lower
американские,20.181166,lower
Американский,5.675953,higher
американский,28.169544,lower
