path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,__num__,,year,year_source,is_problem_date,problem_reason
post1950/nauka/exercise/ex180m01,неизвестный,,,"Темы и задачи, предложенныя для письменнаго рѣшенія на испытаніяхъ зрѣлости въ 1874 г. въ С.-Петербургскомъ округ?",1874,учебно-научная | нехудожественная,,задача,наука и технологии|математика,,нейтральный,н-возраст,н-уровень,средняя|большая,Журналъ Министерства народнаго просвѣщенія. Iюль 1875. Часть CLXXX,Журналъ Министерства народнаго просвѣщенія,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,35913,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
post1950/nauka/exercise/ex180m02,неизвестный,,,"Темы и задачи, предложенныя для письменнаго рѣшенія на испытаніяхъ зрѣлости въ 1874 г. въ Московскомъ округ?",1874,учебно-научная | нехудожественная,,задача,наука и технологии|математика,,нейтральный,н-возраст,н-уровень,средняя|большая,Журналъ Министерства народнаго просвѣщенія. Iюль 1875. Часть CLXXX,Журналъ Министерства народнаго просвѣщенія,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,35914,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
post1950/nauka/exercise/ex180m03,неизвестный,,,"Темы и задачи, предложенныя для письменнаго рѣшенія на испытаніяхъ зрѣлости въ 1874 г. въ Казанскомъ округ?",1874,учебно-научная | нехудожественная,,задача,наука и технологии|математика,,нейтральный,н-возраст,н-уровень,средняя|большая,Журналъ Министерства народнаго просвѣщенія. Iюль 1875. Часть CLXXX,Журналъ Министерства народнаго просвѣщенія,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,35915,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
post1950/nauka/exercise/ex180m04,неизвестный,,,"Темы и задачи, предложенныя для письменнаго рѣшенія на испытаніяхъ зрѣлости въ 1874 г. въ Харьковскомъ округ?",1874,учебно-научная | нехудожественная,,задача,наука и технологии|математика,,нейтральный,н-возраст,н-уровень,средняя|большая,Журналъ Министерства народнаго просвѣщенія. Iюль 1875. Часть CLXXX,Журналъ Министерства народнаго просвѣщенія,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,35916,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
post1950/nauka/exercise/ex180m05,неизвестный,,,"Темы и задачи, предложенныя для письменнаго рѣшенія на испытаніяхъ зрѣлости въ 1874 г. въ Одесскомъ округ?",1874,учебно-научная | нехудожественная,,задача,наука и технологии|математика,,нейтральный,н-возраст,н-уровень,средняя|большая,Журналъ Министерства народнаго просвѣщенія. Iюль 1875. Часть CLXXX,Журналъ Министерства народнаго просвѣщенія,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,35917,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
post1950/nauka/exercise/ex180m06,неизвестный,,,"Темы и задачи, предложенныя для письменнаго рѣшенія на испытаніяхъ зрѣлости въ 1874 г. въ Виленскомъ округ?",1874,учебно-научная | нехудожественная,,задача,наука и технологии|математика,,нейтральный,н-возраст,н-уровень,средняя|большая,Журналъ Министерства народнаго просвѣщенія. Iюль 1875. Часть CLXXX,Журналъ Министерства народнаго просвѣщенія,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,35918,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
post1950/nauka/exercise/ex180m07,неизвестный,,,"Темы и задачи, предложенныя для письменнаго рѣшенія на испытаніяхъ зрѣлости въ 1874 г. въ Западной Сибири",1874,учебно-научная | нехудожественная,,задача,наука и технологии|математика,,нейтральный,н-возраст,н-уровень,средняя|большая,Журналъ Министерства народнаго просвѣщенія. Iюль 1875. Часть CLXXX,Журналъ Министерства народнаго просвѣщенія,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,35919,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
post1950/nauka/exercise/ex187m01,неизвестный,,,"Темы и задачи, предложенныя для письменнаго рѣшенія на испытаніяхъ зрѣлости въ 1875 г. въ С.-Петербургскомъ Округ?",1875,учебно-научная | нехудожественная,,задача,наука и технологии|математика,,нейтральный,н-возраст,н-уровень,средняя|большая,Журналъ Министерства народнаго просвѣщенія. Iюль 1876. Часть CLXXXVII.,Журналъ Министерства народнаго просвѣщенія,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,35920,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
post1950/nauka/exercise/ex187m02,неизвестный,,,"Темы и задачи, предложенныя для письменнаго рѣшенія на испытаніяхъ зрѣлости въ 1875 г. въ Московскомъ Округ?",1875,учебно-научная | нехудожественная,,задача,наука и технологии|математика,,нейтральный,н-возраст,н-уровень,средняя|большая,Журналъ Министерства народнаго просвѣщенія. Iюль 1876. Часть CLXXXVII.,Журналъ Министерства народнаго просвѣщенія,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,35921,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
post1950/nauka/exercise/ex187m03,неизвестный,,,"Темы и задачи, предложенныя для письменнаго рѣшенія на испытаніяхъ зрѣлости въ 1875 г. въ Казанскомъ Округ?",1875,учебно-научная | нехудожественная,,задача,наука и технологии|математика,,нейтральный,н-возраст,н-уровень,средняя|большая,Журналъ Министерства народнаго просвѣщенія. Iюль 1876. Часть CLXXXVII.,Журналъ Министерства народнаго просвѣщенія,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,35922,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
